2026-07-04 22:53:29,585 [INFO] StructureParser:     [KBLI-DICT] 127 entri F&B dari 1461 total entri
2026-07-04 22:53:29,586 [INFO] StructureParser:   [OK] 0 pasal (BT=0 PJ=0), 0 blok KBLI, 127 entri kamus KBLI
2026-07-04 22:53:33,017 [INFO] StructureParser:   [OK] 753 pasal (BT=753 PJ=0), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:34,669 [INFO] StructureParser:   [OK] 632 pasal (BT=632 PJ=0), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:34,691 [INFO] StructureParser:   [OK] 9 pasal (BT=9 PJ=0), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:34,701 [INFO] StructureParser:   [OK] 9 pasal (BT=9 PJ=0), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:34,806 [INFO] StructureParser:   [OK] 6 pasal (BT=6 PJ=0), 1225 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:34,861 [INFO] StructureParser:   [OK] 28 pasal (BT=28 PJ=0), 3 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:34,884 [INFO] StructureParser:   [OK] 5 pasal (BT=5 PJ=0), 366 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:34,898 [INFO] StructureParser:   [OK] 0 pasal (BT=0 PJ=0), 48 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:34,957 [INFO] StructureParser:   [OK] 32 pasal (BT=32 PJ=0), 1 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:34,980 [INFO] StructureParser:   [OK] 4 pasal (BT=4 PJ=0), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:35,535 [INFO] StructureParser:   [OK] 323 pasal (BT=76 PJ=247), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:35,575 [INFO] StructureParser:   [OK] 0 pasal (BT=0 PJ=0), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:50,821 [INFO] StructureParser:   [OK] 1143 pasal (BT=15 PJ=1128), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:52,080 [INFO] StructureParser:   [OK] 386 pasal (BT=193 PJ=193), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:52,549 [INFO] StructureParser:   [OK] 214 pasal (BT=68 PJ=146), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:52,652 [INFO] StructureParser:   [OK] 135 pasal (BT=67 PJ=68), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:53,740 [INFO] StructureParser:   [OK] 322 pasal (BT=161 PJ=161), 0 blok KBLI, 0 entri kamus KBLI
2026-07-04 22:53:53,915 [INFO] StructureParser:   [OK] 129 pasal (BT=65 PJ=64), 0 blok KBLI, 0 entri kamus KBLI
